,Tree,Mold,Grass,Ragweed,total-pol,LATITUDE,LONGITUDE,ELEVATION,AWND,DAPR,MDPR,PRCP,TAVG,TMAX,TMIN,TOBS,TSUN,WDF2,WESD,WESF,WV03
1998-02-20,46.0,180.0,0.0,0.0,46.0,37.656523333333325,-77.41372666666666,59.86666666666667,4.7,,,0.105,45.5,55.333333333333336,35.666666666666664,50.0,,280.0,0.0,,
1998-02-24,5.0,450.0,0.0,0.0,5.0,37.656523333333325,-77.41372666666666,59.86666666666667,17.0,,,0.16,45.0,53.333333333333336,36.666666666666664,45.0,,320.0,0.0,,
1998-02-25,18.0,210.0,0.0,0.0,18.0,37.656523333333325,-77.41372666666666,59.86666666666667,13.65,,,0.0,50.666666666666664,62.333333333333336,39.0,45.0,,340.0,0.0,,
1998-02-26,124.0,960.0,0.0,0.0,124.0,37.656523333333325,-77.41372666666666,59.86666666666667,3.8,,,0.0,48.0,64.0,32.0,53.0,,10.0,0.0,,
1998-02-27,504.0,1260.0,0.0,0.0,504.0,37.656523333333325,-77.41372666666666,59.86666666666667,4.25,,,0.0,49.0,64.0,34.0,55.0,,220.0,0.0,,
1998-03-02,25.0,630.0,0.0,0.0,25.0,37.656523333333325,-77.41372666666666,59.86666666666667,6.93,,,0.32,46.5,52.0,41.0,45.0,,360.0,0.0,,
1998-03-03,10.0,756.0,0.0,0.0,10.0,37.656523333333325,-77.41372666666666,59.86666666666667,8.72,,,0.095,40.333333333333336,49.333333333333336,31.333333333333332,43.0,,340.0,0.0,,
1998-03-04,37.0,1080.0,0.0,0.0,37.0,37.656523333333325,-77.41372666666666,59.86666666666667,6.49,,,0.0,38.666666666666664,50.333333333333336,27.0,42.0,,260.0,0.0,,
1998-03-05,9.0,900.0,0.0,0.0,9.0,37.656523333333325,-77.41372666666666,59.86666666666667,4.92,,,0.0,41.666666666666664,51.666666666666664,31.666666666666668,42.0,,330.0,0.0,,
1998-03-06,5.0,630.0,0.0,0.0,5.0,37.656523333333325,-77.41372666666666,59.86666666666667,5.59,,,0.0,40.5,53.333333333333336,27.666666666666668,45.0,,150.0,0.0,,
1998-03-09,0.0,855.0,0.0,0.0,0.0,37.656523333333325,-77.41372666666666,59.86666666666667,18.12,,,1.725,62.166666666666664,74.33333333333333,50.0,60.0,,220.0,0.0,,
1998-03-10,363.0,2970.0,0.0,0.0,363.0,37.656523333333325,-77.41372666666666,59.86666666666667,15.88,,,0.04,42.5,52.666666666666664,32.333333333333336,38.0,,240.0,0.0,,
1998-03-11,20.0,1200.0,0.0,0.0,20.0,37.656523333333325,-77.41372666666666,59.86666666666667,11.63,,,0.0,31.0,38.0,24.0,30.0,,340.0,0.0,,
1998-03-12,9.0,450.0,0.0,0.0,9.0,37.656523333333325,-77.41372666666666,59.86666666666667,10.51,,,0.0,29.666666666666668,40.0,19.333333333333332,33.0,,290.0,0.0,,
1998-03-13,5.0,780.0,0.0,0.0,5.0,37.656523333333325,-77.41372666666666,59.86666666666667,6.26,,,0.0,30.166666666666668,43.666666666666664,16.666666666666668,38.0,,210.0,0.0,,
1998-03-16,3.0,1440.0,0.0,0.0,3.0,37.656523333333325,-77.41372666666666,59.86666666666667,4.25,,,0.0,36.833333333333336,42.0,31.666666666666668,40.0,,10.0,0.0,,
1998-03-17,0.0,540.0,0.0,0.0,0.0,37.656523333333325,-77.41372666666666,59.86666666666667,6.71,,,0.13,37.0,43.333333333333336,30.666666666666668,40.0,,120.0,0.0,,
1998-03-18,0.0,450.0,0.0,0.0,0.0,37.656523333333325,-77.41372666666666,59.86666666666667,4.7,,,0.9,41.5,45.666666666666664,37.333333333333336,43.0,,320.0,0.0,,
1998-03-19,0.0,540.0,0.0,0.0,0.0,37.656523333333325,-77.41372666666666,59.86666666666667,4.47,,,1.8599999999999999,53.0,62.333333333333336,43.666666666666664,58.0,,310.0,0.0,,
1998-03-20,0.0,900.0,0.0,0.0,0.0,37.656523333333325,-77.41372666666666,59.86666666666667,9.4,,,0.42,48.0,52.333333333333336,43.666666666666664,44.0,,270.0,0.0,,
1998-03-23,0.0,540.0,0.0,0.0,0.0,37.656523333333325,-77.41372666666666,59.86666666666667,4.92,,,0.0,41.833333333333336,53.333333333333336,30.333333333333332,46.0,,250.0,0.0,,
1998-03-24,0.0,1260.0,0.0,0.0,0.0,37.656523333333325,-77.41372666666666,59.86666666666667,6.49,,,0.0,43.0,57.666666666666664,28.333333333333332,47.0,,10.0,0.0,,
1998-03-25,6.0,1800.0,0.0,0.0,6.0,37.656523333333325,-77.41372666666666,59.86666666666667,7.16,,,0.0,42.333333333333336,56.666666666666664,28.0,50.0,,150.0,0.0,,
1998-03-26,45.0,2520.0,0.0,0.0,45.0,37.656523333333325,-77.41372666666666,59.86666666666667,13.2,,,0.0,57.833333333333336,73.66666666666667,42.0,68.0,,210.0,0.0,,
1998-03-27,160.0,2880.0,0.0,0.0,160.0,37.656523333333325,-77.41372666666666,59.86666666666667,12.97,,,0.0,70.83333333333333,84.0,57.666666666666664,75.0,,190.0,0.0,,
1998-03-30,450.0,3240.0,0.0,0.0,450.0,37.656523333333325,-77.41372666666666,59.86666666666667,10.07,,,0.0,74.5,89.33333333333333,59.666666666666664,83.0,,210.0,0.0,,
1998-03-31,250.0,3960.0,0.0,0.0,250.0,37.656523333333325,-77.41372666666666,59.86666666666667,14.09,,,0.0,73.83333333333333,84.0,63.666666666666664,75.0,,210.0,0.0,,
