,Tree,Mold,Grass,Ragweed,total-pol,SPI,LATITUDE,LONGITUDE,ELEVATION,AWND,DAPR,MDPR,PRCP,TAVG,TMAX,TMIN,TOBS,TSUN,WDF2,WESD,WESF,WV03
2010-02-22,0.0,630.0,0.0,0.0,0.0,0.49142857142857144,37.628434999999996,-77.3792525,57.474999999999994,3.58,,,0.1175,41.5,53.25,29.75,36.5,,180.0,0.0,,
2010-02-23,0.0,450.0,0.0,0.0,0.0,0.4285714285714286,37.628434999999996,-77.3792525,57.474999999999994,7.379999999999999,,,0.0775,42.75,50.75,34.75,40.5,,155.0,0.0,,
2010-02-24,0.0,675.0,0.0,0.0,0.0,0.36571428571428577,37.628434999999996,-77.3792525,57.474999999999994,2.125,,,0.08249999999999999,38.25,44.25,32.25,35.0,,10.0,0.0,,
2010-02-25,0.0,765.0,0.0,0.0,0.0,0.3028571428571429,37.628434999999996,-77.3792525,57.474999999999994,12.64,,,0.05,38.0,44.25,31.75,36.0,,305.0,0.0,,
2010-03-02,0.0,420.0,0.0,0.0,0.0,-1.0685714285714285,37.628434999999996,-77.3792525,57.474999999999994,5.1450000000000005,,,0.125,39.5,46.25,32.75,33.5,,190.0,0.0,,
2010-03-03,0.0,450.0,0.0,0.0,0.0,-1.3957142857142857,37.628434999999996,-77.3792525,57.474999999999994,9.505,,,0.16,37.125,41.25,33.0,36.5,,355.0,0.0,,
2010-03-04,0.0,720.0,0.0,0.0,0.0,-1.7228571428571426,37.628434999999996,-77.3792525,57.474999999999994,10.18,,,0.0175,39.0,46.5,31.5,35.5,,325.0,0.0,,
2010-03-08,6.0,810.0,0.0,0.0,6.0,-1.0985714285714285,37.628434999999996,-77.3792525,57.474999999999994,2.57,,,0.0,46.0,62.75,29.25,38.5,,325.0,0.0,,
2010-03-09,12.0,1200.0,0.0,0.0,12.0,-0.7814285714285714,37.628434999999996,-77.3792525,57.474999999999994,2.575,,,0.0,46.75,65.5,28.0,40.0,,210.0,0.0,,
2010-03-10,723.0,1200.0,0.0,0.0,723.0,-0.4642857142857142,37.628434999999996,-77.3792525,57.474999999999994,5.48,,,0.0,53.625,69.5,37.75,52.0,,225.0,0.0,,
2010-03-11,555.0,1305.0,0.0,0.0,555.0,-0.14714285714285724,37.628434999999996,-77.3792525,57.474999999999994,4.59,,,0.19,58.625,68.25,49.0,53.0,,220.0,0.0,,
2010-03-12,315.0,1020.0,0.0,0.0,315.0,0.17,37.628434999999996,-77.3792525,57.474999999999994,8.055,,,0.6675,58.0,61.75,54.25,54.5,,60.0,0.0,,
2010-03-15,405.0,990.0,0.0,0.0,405.0,0.11857142857142858,37.628434999999996,-77.3792525,57.474999999999994,8.835,,,0.095,49.375,52.5,46.25,48.0,,175.0,0.0,,
2010-03-16,12.0,600.0,0.0,0.0,12.0,0.10142857142857144,37.628434999999996,-77.3792525,57.474999999999994,6.15,,,0.0125,50.0,58.0,42.0,48.5,,25.0,0.0,,
2010-03-17,171.0,855.0,0.0,0.0,171.0,0.0842857142857143,37.628434999999996,-77.3792525,57.474999999999994,2.6849999999999996,,,0.0,49.25,66.25,32.25,47.5,,205.0,0.0,,
2010-03-18,779.0,1485.0,0.0,0.0,779.0,0.06714285714285714,37.628434999999996,-77.3792525,57.474999999999994,2.015,,,0.0,53.25,70.25,36.25,50.0,,165.0,0.0,,
2010-03-19,672.0,1260.0,0.0,0.0,672.0,0.05,37.628434999999996,-77.3792525,57.474999999999994,2.91,,,0.0,54.875,72.25,37.5,53.0,,325.0,0.0,,
2010-03-22,432.0,1560.0,0.0,0.0,432.0,0.62,37.628434999999996,-77.3792525,57.474999999999994,10.735,,,0.425,61.5,70.5,52.5,61.5,,205.0,0.0,,
2010-03-23,7.0,900.0,0.0,0.0,7.0,0.8099999999999999,37.628434999999996,-77.3792525,57.474999999999994,8.95,,,0.065,51.75,62.75,40.75,46.0,,285.0,0.0,,
2010-03-24,29.0,1260.0,0.0,0.0,29.0,0.9999999999999999,37.628434999999996,-77.3792525,57.474999999999994,5.48,,,0.0,52.875,66.5,39.25,52.5,,310.0,0.0,,
2010-03-25,28.0,1800.0,0.0,0.0,28.0,1.19,37.628434999999996,-77.3792525,57.474999999999994,8.84,,,0.0,55.75,70.75,40.75,54.5,,205.0,0.0,,
